OrderId,Outfit_type,order_item_1,order_item_2,order_item_3,order_item_4,order_item_5,order_item_6,order_item_7,order_item_8
129,1,shein sheinside khaki hollow loose crop blouse__17,khaki modern ladies plain fringe suede rivet vest__26,calypso st. barth hand embellished linen short__29,etro beaded suede sandals__46,american west tote hair handbags__36,__4438,0,0
130,1,preowned michael kors collection brick red tan 1990s 90s ribbed crop top__104,maxi split skirt red long skirt hippie clothing boho goddess skirt festival clothing elegant gypsy skirt 1__10,suede skirt__9,espadrille lace espadrilles red summer leather fabric boho women's greek gift__46,boho crossbody red cross body handbags__37,etro bead embellished earrings__64,0,0
131,1,pier imports artificial tree__4438,__140,__182,edited beverly__949,0,0,0,0
132,0,metallic gold print i'm womens graphic tshirt womens tee graphic tee__21,barbara bui coat__24,pre-owned camel ankle jeans__27,dr. martens leather lace-up shoes__41,mulberry small messenger bag__258,women's muse red round plastic plastic rx eyeglasses__4428,tarte wing deluxe eyeliner set__199,brush new__4445
133,0,piece set long sleeve velvet dress__5,plus size black high waisted jean shorts__29,classic sheer__251,dr martens eye womens boots__42,steve madden satchel__318,basic black tattoo stretch choker hot topic__62,feather iphone case__1967,mac lipstick matte__200
134,1,barrel square coffee table__118,floor lamp__4505,antique indigo floor pillow__144,dot bo gentle lotus__140,dot bo cactus cup planter__4438,room spray__4248,solid brass vintage holder__182,0
135,0,blouse__17,proenza schouler ultra skinny jean black__237,pointed flat__47,dolce gabbana sicily striped shopper tote__36,jimmy choo neon patent leather hip belt__52,0,0,0
136,1,retro steampunk inspired thick metal round sunglasses__57,retro steampunk round side cover sunglasses__57,retro modern steampunk dual frame round sunglasses__57,dolce gabbana round metal frame sunglasses__57,oversize vintage inspired metal round circle sunglasses__57,linda farrow round-frame mirrored sunglasses__57,0,0
137,0,marc jacobs wool-blend sweater__19,asymmetric ribbed jersey cashmere silk-blend midi skirt__9,oscar pumps__43,dolce gabbana continental wallet__40,mac powder blush__194,0,0,0
138,1,studio side table__118,vintage rug x__136,missoni home throw__162,distressed white chair__152,giant antique copper pot iron handle__4267,japanese garden__4267,japanese garden__4267,vintage hammered copper hanging planter__4267
139,1,asos longline t-shirt faux suede front sleeves__275,kenneth cole slim pants sterling men's 0 pants__4458,paul smith leather sneaker__297,diesel bracelet jewelry__4523,men's co. leather wrap bracelet__4523,brown leather wrap bracelet__4523,lily boutique black crystal necklace__62,0
140,1,chicwish boho stripes ruffled dress white__4,boho summer dress white boho chic hippie beach dress festival gypsy boho__2,cynthia tall gladiator sandals__46,diane von furstenberg disco suede fringe leather bucket bag tan__37,boho glow ring set__65,free people headband__58,turquoise ring__65,1 garden party regular__77
141,1,deborah lippmann nail polish candy shop__222,deborah lippmann glitter nail polish__222,deborah lippmann women's take nail polish__222,deborah lippmann nail color yellow brick road ea__222,essie nail color tiny fl oz g__222,essie nail color go chic oz ml__222,essie nail color loose oz ml__222,stainless steel mini nail__339
142,0,golden goose deluxe brand superstar distressed metallic leather suede sneakers__49,mcm logo printed small backpack__259,nars shine primer__193,cutout shoulder text print sweatshirt__4495,embroidered camo utility coat hooded__24,elastic waist velvet pants__28,stylish metal frame flat lens bright color pilot sunglasses women__57,0
143,1,blackfive asymmetric v-neck loose cardigan__18,blackfive 3/4 sleeves asymmetric hem loose pullover t-shirt__21,faded denim pants__28,cutout block-heel lace-up martin boots__42,tassels embellished suede shoulder bag__37,gold-plated chain bracelet__106,0,0
144,0,chicwish tiered crochet tank top__104,linea weekend midnight tassel maxi skirt__10,forever leather sandals__46,crochet crossbody__37,women's accessories style moi__62,0,0,0
145,1,rag bone top__11,alice olivia floral-print pants alice olivia__28,lola flat sandal champagne leather__46,crescent pendant necklace__62,rag bone floppy brim fedora__55,hermes suede clutch__38,0,0
146,0,pull bear print sweatshirt__4495,boohoo laura distressed ripped knee skinny jeans__237,forever fox ankle socks__69,converse white chuck taylor star hi top trainers__49,vince camuto cross body__37,bay multi strand bracelet set__106,small split dome stud earrings__64,edgy bow hair clip__58
147,0,boohoo baseball brooklyn boxy crop boohoo__11,le3no womens cropped long sleeve zip moto military jacket__25,frame denim le cut white denim shorts__29,converse star sneakers__49,stylish elegant candy color pu leather backpack__259,0,0,0
148,1,hippie love flower crown festival wedding hair wreath boho floral headband__58,allurez pear shaped diamond ring band 14k rose gold__65,floral dress__4,converse star ox__49,0,0,0,0
149,0,urban classics cord checked shirt__11,basic strappy crop top__11,miss selfridge lizzie shredded jeans black__237,converse star hi top boots mono black__41,wavy shape pendant necklace women__62,sheet music rubber bracelet hot topic__106,bracelet bracelet accessories__106,amazon.com heather slouchy beanie skull cap hat black clothing__55
150,0,chicnova fashion irregular short denim blouse__17,womens basic long sleeve solid t-shirt__11,armani jeans super stretch vintage medium dark wash jeans__27,converse chuck taylor unisex double zip high top sneaker__49,amethyst crystal__106,nautical long necklace anchor navy white rose gold__62,0,0
151,1,knit spliced embroidery long sleeve blouse__17,tassels solid color straight leg jeans__310,tassel lace-up chunky heel sandals__46,collection 14k gold diamond arrow midi ring__65,0,0,0,0
152,1,sexy women sleeveless o neck hollow tassels knitted tank tops__104,current/elliott fling distressed low-rise boyfriend jeans__240,charlotte russe braided strap thong sandals__46,circle straw bag__318,0,0,0,0
153,1,ralph lauren denim supply boho off-the-shoulder blouse__17,frayed high-rise flared jeans__4452,chloé harper lace-up suede ankle boots__261,christian louboutin small leather cross-body bag__37,isabel marant beaded tassel earrings__64,0,0,0
154,0,uniqlo linen tank top__104,warehouse double buckle faux leather biker jacket__25,marc marc jacobs skinny jeans__237,chloé suede wedge sneakers__49,oasis satchel bag__35,nearly natural mixed mini daisy silk plant__4438,0,0
155,1,faux suede embroidered blouse__17,flower pattern embroidery sequins ankle boots__261,flower pattern embroidery sequins ankle boots__261,chloé faye medium suede flap leather shoulder bag__37,teardrop openwork rhinestone choker__62,distressed jeans__278,lipstick__200,0
156,0,pink drop shoulder cut crop t-shirt__21,women's topshop boutique boyfriend jeans__240,womens vans womens old skool suede womens shoe pink cotton__49,charlotte russe embellished caged rings pack__65,valentino rockstud leather camera bag__1967,jasmine basic adjustable baseball cap__55,kenzo metallic pink iphone 6s case__1967,le specs punk sunglasses__57
157,1,free people wild one gown__6,plein fuchsia leather pump__43,dannijo__106,charles pink natural adjustable ring__65,eugenia kim wool felt hat chain black__55,colour lipstick__200,christian louboutin nail colour__222,0
158,1,dakota suedette lace-up bodysuit__315,barth lulu shorts blue__29,light blue leather stiletto heel pointy pumps__43,chanel cuba black silver tone faux pearl palm tree pin__67,__38,0,0,0
159,1,charlotte tilbury girl look__200,gold triangle chain headband__58,wood butterfly iphone case iphone case iphone plus case iphone cover iphone plus cover__1967,chan luu beaded wrap bracelet__106,beige boho bag__318,shein sheinside apricot half sleeve floral tassel cape top__18,h&m super skinny super low jeans__237,leather sandals__46
160,1,cosmetics lipstick__200,brown studded fedora__55,long sleeve turtleneck crop top__11,cashmere silk blend tights__251,sans souci vegan suede button front a-line skirt__9,rag bone boot__261,0,0
161,0,miss selfridge premium embroidered bell sleeve blouse__17,shine blue jeans__310,lace flat__47,camel triangle patch flap bag__318,0,0,0,0
162,0,merino wool shift dress__4,skin co tweed maxi coat__24,embellished black pearl brogues__266,burgundy leather tote__36,0,0,0,0
163,1,denim supply ralph lauren antique cream cotton__4454,dr. denim snap white clean slim fit jeans__278,men's fashion sneaker__297,burberry burberry london edt spray__335,oversize vintage inspired metal round circle sunglasses__57,1 boho silver hoop charm ethnic tribal floral geometric raw brass statement necklace__60,0,0
164,0,monki knitted cardigan__18,monki singlet__104,lucluc blue irregular denim shorts__29,brown gladiator studded sandals__46,lucluc white frame purple lenses sunglasses__57,post hermes__318,makeup trends top collections nordstrom__74,0
165,0,topshop tie front top__11,boyfriend low ripped jeans__240,adidas stan smith leather sneakers__49,brilliant cut one carat stud earrings__64,0,0,0,0
166,1,shein sheinside apricot spaghetti strap shoulder dress__5,shein sheinside apricot spaghetti strap shoulder dress__5,two two sandal__46,brilliant black cubic zirconia stud earrings 18k gold sterling silver__64,gold cross cuff__106,long necklace__62,shop rose gold single pearl choker necklace__62,chanel coco eau de parfum spray 50ml__95
167,1,sleeveless ribbed knit bodycon dress__4,longline sequins open knit cardigan__18,prada suede knee-high boots__263,braided tassel suede panel shoulder bag__37,__78,0,0,0
168,0,jumper__19,alice black pleated maxi skirt__10,steve madden women's booties__261,bowler handbag black__318,camera charm necklace__62,0,0,0
169,1,boohoo crochet tassel trim crop blouse__17,christopher kane floral applique denim shorts__29,braided strappy t-strap sandals__46,boho clutch__38,punk diamante pattern pendant belly button ring women__60,bcbgmaxazria boho tribal statement earrings women's cobalt multi__64,boho rings set__65,charlotte russe silver boho leaf arrow midi rings pack charlotte russe charlotte russe__65
170,0,candy christmas jumper__19,rag bone skinny jeans__237,sam edelman peep toe ankle boots__261,bling jewelry snow christmas charm__106,rhinestone snowflake christmas drop earrings__64,winter snowflake iphone case iphone plus case iphone cover iphone plus cover__1967,inch personalized snowflake blue velvet stocking__4244,0
171,0,h&m top__21,dark denim skinny jeans__237,plaid fold combat boots__261,bling jewelry bling jewelry sterling silver arrow heart cz pendant necklace__62,allurez arrow ring diamond 14k white gold__65,samsung galaxy flex ultra slim case pineapple paradise__1967,beanie__55,girl curl__4479
172,1,chicnova fashion ruffle shoulder crop top__11,chicnova fashion high waisted maxi denim skirt__10,black festival chic caged gladiator sandals__46,black away printed tote bag__36,grand romantic bracelet watch__61,chicnova fashion vintage purple earrings__64,chicnova fashion round optical glasses__4428,0
173,1,violeta mango openwork cotton cardigan__18,ariana grande lipsy broderie bralet__11,women elephant pattern printed high waist beach shorts tassels__29,billabong women's sandals__46,pink boho fringed backpack__259,metal heart sunglasses__57,0,0
174,1,alice olivia cropped printed georgette top__11,flared solid color chiffon skirt__9,solid color peep toe lace-up sandals__46,billabong women's festival fringe crossbody bag__37,chain tassel necklace__62,ethnic coin tassel earrings__64,touch mineral skin concealer__188,charlotte tilbury lip lip liner__202
175,1,cape chair__116,wild chair slipper chair__116,brushed steel pendant__4503,beach people dream time round beach towel__4292,party__182,throw pillow__144,kate spade mirror__143,bed pillow__144
176,1,king bed fabric__126,end table__118,lamp__135,barn embroidered__4433,wall hanging__182,plus cushion rose__144,cushion charcoal__144,novica wood__182
177,0,brick red v-neck zipper detail choker knit jumper__19,acne studios leather outerwear__25,shaping skinny regular jeans__237,barbara bui ankle boots__261,rebecca minkoff mini leather crossbody__37,black ring set__65,velvet choker__62,wood ladies sunglasses__57
178,0,calvin klein jeans logo print cropped t-shirt__21,white house black market distressed girlfriend jeans__240,adidas stripe womens athletic shoes__49,balenciaga papier belt bag zip around__35,0,0,0,0
179,0,elizabeth james vanessa off-the-shoulder printed silk top__11,mother shorts__29,jimmy choo nile sandals__46,balenciaga giant hip leather shoulder bag__37,vince camuto golden honey layered necklace__62,ray-ban rb3025 aviator sunglasses__57,0,0
180,1,peacock chair__123,modern rope wrapped outdoor coffee table__151,silver cage string lights__4276,baker art lady planter__4267,icon mix outdoor pillow acrylic lucite decorative__4267,cute cartoon happy sun outdoor pillow__4267,vintage hammered copper hanging planter__4267,outdoor decor__4267
181,0,mango striped jersey dress__4,penny lane handmade sandal__46,butterfly crocodile small clutch bag__38,anya hindmarch mustard pouch__318,eugenia kim floppy sun hat ivory__55,sunglasses__57,glass cube set green__4438,giant oz__78
182,1,summer shorts fit stripe__280,men's small leather satchel bag__4461,straw hat__303,anchor rope bracelet__4523,anchor crew red natural stone bracelet__4523,wood sunglasses__57,rope leather sandals__46,sand rope large outdoor__150
183,0,amber crop jumper__19,destroyed girlfriend jeans__27,giuseppe zanotti black leather triple sandals__46,alexander mcqueen flower leather shoulder bag__37,gucci gold cat eye sunglasses__57,pier imports faux canvas flower branch__4438,terre sand shadows nude eyes set__196,0
184,1,prada dress__3,blazer__236,antique effect pumps__43,alexander mcqueen black gold floral book clutch__38,rose bead green bracelet__106,14k gold pearl stud earrings__64,stacking rings__65,0
185,0,stone knitted chiffon back jumper__19,current/elliott boyfriend distressed shorts__29,toms multi flat shoes__47,aldo bracelet__106,charlotte russe faceted stone earrings__64,0,0,0
186,0,run denim dress waist tie__4,dr. martens w black smooth women's boots__261,leather backpacks leather festival bags__259,aerin lipstick red velvet__200,0,0,0,0
187,1,calvin klein collection long sleeve sweater__19,topshop suede fringe gilet__26,h&m denim shorts high waist__29,aeo slip platform sneaker__49,saddle bag__37,kenneth cole new york summer glow shell disc duo pendant necklace__62,1 flower crown headband bridesmaid rose hair piece bridal pink head band stretchy wedding hair__58,0
188,0,women's flowy long sleeve shoulder tee graphic tee long sleeve shirt__21,boohoo kim oversized distressed denim jacket boohoo__25,leather front ted slim pants__28,adidas women's superstar foundation lace sneakers__49,saint laurent black small sac de jour tote__36,0,0,0
189,0,le3no womens stretchy solid cropped tank top__11,rock roll forever bomber jacket__25,topshop moto winter bleach joni jeans__237,adidas women's superstar foundation 0 sneaker__49,black double chain choker__62,galaxy purple geo line iphone 5/5s case__1967,instagram photo__186,0
190,0,roberto cavalli cropped ribbed turtleneck sweater__19,shein sheinside black zipper pu moto jacket__25,new look petite black ripped knee high waist super skinny jeans__237,adidas women's superstar 0 sneakers finish line__49,chanel medium lambskin classic flap bag__318,0,0,0
191,0,pattern knit jumper__19,puffer coat__24,slim jeans j brand__237,adidas women's superstar 0 shoes__49,double mini clutch__38,apple watch band__61,day transparent iphone case iphone plus case iphone cover iphone plus cover__1967,0
192,0,billabong unisex muscle tee__104,camo bomber jacket__25,new look pale blue denim graffiti print turn mom shorts__29,adidas neo women's athletic shoes__49,olympia book clutch__38,5sos bottle green logo beanie__55,iphone se leather case black__1967,vans black headphones__1967
193,1,skirt__9,schutz wedge sandals__46,mango handbag__318,accessorize x stone midi ring set__65,ring__65,i'm peach minimal text barely iphone plus case__1967,flora bella faith raffia hat__55,john lewis floral wool scarf__105
194,1,mango printed boho blouse__17,rag distressed cutoff denim shorts__29,topshop boho bottoms__4518,accent accessories boho bling choker trio__2,frye boho thong brown full grain women's sandals__46,diane von furstenberg voyage boho suede fringe crossbody bag__37,womens flower floral boho round mirror sunglasses__57,0
195,0,chicnova fashion loose fit denim blouse__17,chicnova fashion denim collar long sleeves blouse__17,chicnova fashion split denim fur blouse__17,a-line denim skirt lace trim embellishment__9,paolo iantorno black creme two tone oxfords__266,chicnova fashion eiffel tower contrast color backpack__259,0,0
196,1,yoins floral print sleeveless open back mini dress__4,yoins blue cross leather look toe post lace-up flat sandals__46,yoins round leather-look fringe gold top handle bag pink__37,18kt white gold plated 8mm pearl studs__64,betsey johnson boho long peacock pendant__107,diorshow designer professional lengthening mascara lash effect christian dior__197,0,0
197,1,flared sleeves dress__4,denim gilet__26,gucci pebbled calfskin small soho disco bag tan__37,14k rose gold circle hoop earrings__64,nude nature translucent loose powder__190,illuminating bronzing powder__195,0,0
198,1,geometric pattern irregular front fly cardigan__18,x letter patch jeans__27,printed tassels fringe boots__42,1 straw chains printed bag__318,set boho floral wrap stretch bracelets 1 hippie gypsy chic nature floral stack bracelets gift women__106,bracelet__106,vintage water drop earrings__64,beaded boho head band__58
199,1,hand painted cactus shorts boutique__2,striped pleated shorts boutique__29,hermes hermes birkin bag w/ gold hardware made color__318,__43,0,0,0,0
200,1,a.p.c. striped pullover__19,camel__24,90's distressed denim jacket__25,__241,black snake embossed block heel pointy pumps__43,loeffler randall medium satchel goop__318,0,0
